Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22
Arica y Parinacota,15,Arica,15101,247552,88,80,72,65,77,103,105,87,61,66,49,68,117
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,88,80,72,65,77,103,105,87,61,66,49,68,117
,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,8,8,7,15,19,27,38,78,93,94,118,183,246
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,3,6,7,7,5,7
Tarapaca,01,Iquique,01101,223463,11,8,10,10,29,38,39,63,169,206,293,371,419
Tarapaca,01,Pica,01405,5958,9,17,21,17,13,9,0,0,3,4,4,4,1
Tarapaca,01,Pozo Almonte,01401,17395,2,2,0,0,0,0,0,1,2,3,3,4,13
Tarapaca,01,Total,,382773,30,35,38,42,61,74,77,145,273,314,425,567,686
,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,49,54,62,86,121,140,158,201,235,225,296,315,296
Antofagasta,02,Calama,02201,190336,12,11,10,10,9,25,33,37,32,33,57,76,76
Antofagasta,02,Maria Elena,02302,6814,1,2,4,6,7,8,24,24,25,21,31,28,25
Antofagasta,02,Mejillones,02102,14776,11,13,14,18,30,38,37,83,79,75,41,43,45
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,1,0,0,0,0,0,0,0,0,0,0,0,1
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,2,2,5,5,4
Antofagasta,02,Taltal,02104,13657,3,5,5,5,4,0,0,1,1,1,8,7,12
Antofagasta,02,Tocopilla,02301,28079,1,3,8,4,1,0,1,2,2,3,6,8,6
Antofagasta,02,Total,,691854,78,88,103,129,172,211,253,348,376,360,444,482,465
,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,1,1,3,3,3,3
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,03,Copiapo,03101,171766,5,5,5,4,0,0,11,26,32,43,36,33,34
Atacama,03,Diego de Almagro,03202,14358,0,0,0,0,0,0,0,1,1,2,1,1,2
Atacama,03,Freirina,03303,7681,0,0,0,0,0,1,1,0,0,0,0,0,0
