Grupo de edad,Sexo,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-18,2020-05-22
00 - 15 años,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,7,8,8,8,11,12,16,20,21,21,,,,,,,,,,,,,
15 - 29 años,M,2,6,8,8,9,9,11,12,13,15,15,16,18,19,21,30,40,51,52,54,56,59,67,71,74,79,80,85,,,,,,,,,,,,,
30 - 44 años,M,9,26,28,34,42,43,46,49,52,54,64,70,75,82,84,95,104,126,131,135,140,154,167,191,198,205,207,214,,,,,,,,,,,,,
45 - 59 años,M,8,17,20,23,32,35,39,48,56,60,65,72,76,83,92,103,128,158,169,178,183,193,211,229,250,259,261,267,,,,,,,,,,,,,
60 - 79 años,M,11,22,25,28,32,35,36,43,55,57,70,86,90,94,103,121,145,174,190,198,203,216,235,267,279,291,293,305,,,,,,,,,,,,,
80 y más años,M,2,3,6,6,8,8,8,10,14,15,17,19,24,25,29,34,35,41,51,52,55,58,63,65,66,68,73,76,,,,,,,,,,,,,
00 - 15 años,F,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,7,7,7,8,10,11,11,13,15,16,16,16,,,,,,,,,,,,,
15 - 29 años,F,9,13,16,17,18,18,18,18,22,22,22,22,27,30,34,43,51,55,60,61,63,69,76,80,85,87,89,91,,,,,,,,,,,,,
30 - 44 años,F,7,20,24,26,26,28,30,36,39,40,46,50,54,56,60,70,80,93,105,111,113,118,133,150,154,161,164,170,,,,,,,,,,,,,
45 - 59 años,F,6,19,25,27,31,31,37,42,46,46,52,59,61,67,72,88,112,126,139,141,150,159,180,196,204,206,209,212,,,,,,,,,,,,,
60 - 79 años,F,5,12,17,25,32,32,37,45,52,54,65,74,81,84,92,108,123,138,151,161,163,172,190,208,215,216,218,231,,,,,,,,,,,,,
80 y más años,F,1,2,2,3,5,6,7,7,10,11,14,16,16,19,22,27,33,39,45,48,50,50,52,58,63,64,65,72,,,,,,,,,,,,,
00 - 5 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,12,12,12,13,14,17,20,22,28,50,67
5 - 17 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,15,18,17,19,23,38,43
18 - 49 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,392,396,402,403,406,409,488,497,519,567,809,969
50 - 59 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,205,210,216,220,221,225,282,295,315,348,491,649
60 - 69 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,177,182,187,187,197,201,268,286,296,341,482,636
70 - 79 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,157,158,159,162,164,167,216,227,241,253,384,484
80 y más años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,80,81,87,89,93,101,125,136,144,149,207,266
00 - 5 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,11,15,16,16,16,20,20,22,24,47,65
5 - 17 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14,16,15,16,19,22,33,42
18 - 49 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,311,316,321,325,330,340,404,414,438,489,692,831
50 - 59 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,164,168,172,176,177,184,214,217,221,232,319,405
60 - 69 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,128,130,134,137,138,142,192,202,217,233,313,422
70 - 79 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,123,123,125,129,131,135,172,189,201,219,290,384
80 y más años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,82,89,96,97,97,102,124,129,140,157,221,285
