Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24
Arica y Parinacota,15,Arica,15101.0,247552.0,2.4,2.4,4.8,16.6,25.4,35.1,46.5,50.1,54.1,67.1,90.5
Arica y Parinacota,15,Camarones,15102.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,General Lagos,15202.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Putre,15201.0,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Total,,252110.0,2.4,2.4,4.8,16.3,25.0,35.1,45.6,49.2,53.2,65.8,88.9
Tarapaca,01,Alto Hospicio,1107.0,129999.0,0.0,0.8,2.3,3.8,4.6,7.7,10.8,11.5,12.3,20.8,30.0
Tarapaca,01,Camina,1402.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,01,Colchane,1403.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,01,Huara,1404.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,01,Iquique,1101.0,223463.0,2.2,2.2,4.5,5.8,7.2,8.1,11.6,11.6,13.9,16.1,26.0
Tarapaca,01,Pica,1405.0,5958.0,0.0,0.0,0.0,16.8,33.6,83.9,167.8,318.9,402.8,470.0,520.3
Tarapaca,01,Pozo Almonte,1401.0,17395.0,0.0,0.0,0.0,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Tarapaca,01,Total,,382773.0,1.3,1.6,3.4,5.5,6.8,9.1,13.6,16.2,19.1,24.3,34.0
Antofagasta,02,Antofagasta,2101.0,425725.0,6.8,7.5,10.3,12.7,14.1,19.3,24.9,28.7,34.1,43.2,61.3
Antofagasta,02,Calama,2201.0,190336.0,1.6,1.6,2.6,3.7,4.2,6.8,10.5,11.0,11.0,13.1,18.4
Antofagasta,02,Maria Elena,2302.0,6814.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,29.4,58.7,88.1,102.7
Antofagasta,02,Mejillones,2102.0,14776.0,0.0,0.0,0.0,6.8,13.5,40.6,81.2,94.7,128.6,182.7,291.0
Antofagasta,02,Ollague,2202.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,2203.0,10434.0,9.6,19.2,28.8,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3
Antofagasta,02,Sierra Gorda,2103.0,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,02,Taltal,2104.0,13657.0,0.0,0.0,0.0,0.0,7.3,22.0,22.0,51.3,51.3,51.3,51.3
Antofagasta,02,Tocopilla,2301.0,28079.0,7.1,7.1,7.1,7.1,7.1,7.1,10.7,21.4,39.2,39.2,39.2
Antofagasta,02,Total,,691854.0,5.1,5.6,7.8,9.8,11.1,15.9,21.5,25.4,30.5,38.2,53.2
Atacama,03,Alto del Carmen,3302.0,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Caldera,3102.0,19426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Chanaral,3201.0,13164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Copiapo,3101.0,171766.0,0.6,1.2,2.3,2.3,2.9,4.7,4.7,4.7,4.7,4.7,4.7
Atacama,03,Diego de Almagro,3202.0,14358.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Atacama,03,Freirina,3303.0,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Huasco,3304.0,11264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0
Atacama,03,Tierra Amarilla,3103.0,14312.0,0.0,0.0,0.0,0.0,14.0,27.9,27.9,27.9,27.9,27.9,34.9
Atacama,03,Vallenar,3301.0,57009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3
Atacama,03,Total,,314709.0,0.6,1.0,1.6,1.6,2.5,4.1,4.1,4.1,4.1,4.4,6.7
Coquimbo,04,Andacollo,4103.0,11791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Canela,4202.0,9546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Combarbala,4302.0,13884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Coquimbo,4102.0,256735.0,6.6,7.4,7.4,7.4,7.4,8.2,8.2,7.4,7.8,9.0,9.3
Coquimbo,04,Illapel,4201.0,32801.0,0.0,0.0,0.0,21.3,36.6,39.6,51.8,57.9,57.9,54.9,54.9
Coquimbo,04,La Higuera,4104.0,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,La Serena,4101.0,249656.0,0.8,1.2,3.2,4.8,4.8,4.8,4.8,4.8,4.8,6.4,7.2
Coquimbo,04,Los Vilos,4203.0,23374.0,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Coquimbo,04,Monte Patria,4303.0,32527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Ovalle,4301.0,121269.0,3.3,3.3,3.3,5.8,5.8,6.6,6.6,6.6,6.6,7.4,7.4
Coquimbo,04,Paiguano,4105.0,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Punitaqui,4304.0,12165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2
Coquimbo,04,Rio Hurtado,4305.0,4372.0,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9
Coquimbo,04,Salamanca,4204.0,29110.0,6.9,6.9,6.9,13.7,13.7,17.2,20.6,20.6,24.0,24.0,24.0
Coquimbo,04,Vicuna,4106.0,29741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Total,,836096.0,3.2,3.6,4.2,6.1,6.7,7.3,7.9,7.9,8.1,9.0,9.4
Valparaiso,05,Algarrobo,5602.0,15174.0,46.1,46.1,59.3,59.3,52.7,52.7,52.7,59.3,59.3,59.3,59.3
Valparaiso,05,Cabildo,5402.0,20663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0
Valparaiso,05,Calera,5502.0,53591.0,11.2,11.2,13.1,13.1,16.8,16.8,16.8,20.5,24.3,29.9,41.1
Valparaiso,05,Calle Larga,5302.0,16482.0,0.0,0.0,12.1,12.1,6.1,12.1,12.1,12.1,24.3,30.3,36.4
Valparaiso,05,Cartagena,5603.0,25357.0,0.0,0.0,0.0,3.9,0.0,0.0,7.9,7.9,7.9,7.9,23.7
Valparaiso,05,Casablanca,5102.0,29170.0,3.4,3.4,6.9,10.3,6.9,6.9,10.3,10.3,10.3,10.3,10.3
Valparaiso,05,Catemu,5702.0,15213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Concon,5103.0,45889.0,2.2,2.2,15.3,15.3,6.5,6.5,13.1,15.3,15.3,15.3,28.3
Valparaiso,05,El Quisco,5604.0,17742.0,0.0,0.0,5.6,5.6,5.6,5.6,16.9,22.5,33.8,45.1,62.0
Valparaiso,05,El Tabo,5605.0,14338.0,7.0,7.0,20.9,20.9,13.9,13.9,13.9,20.9,41.8,41.8,62.8
Valparaiso,05,Hijuelas,5503.0,19099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2
Valparaiso,05,Isla de Pascua,5201.0,8277.0,12.1,60.4,60.4,60.4,60.4,72.5,72.5,72.5,60.4,60.4,60.4
Valparaiso,05,Juan Fernandez,5104.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,La Cruz,5504.0,25321.0,0.0,3.9,11.8,11.8,7.9,7.9,19.7,19.7,19.7,27.6,31.6
Valparaiso,05,La Ligua,5401.0,37739.0,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
Valparaiso,05,Limache,5802.0,49931.0,4.0,6.0,6.0,8.0,10.0,14.0,16.0,26.0,40.1,40.1,46.1
Valparaiso,05,Llaillay,5703.0,26533.0,0.0,0.0,3.8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Valparaiso,05,Los Andes,5301.0,68093.0,2.9,4.4,2.9,2.9,8.8,8.8,8.8,10.3,13.2,13.2,8.8
Valparaiso,05,Nogales,5506.0,23490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Olmue,5803.0,19266.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2,10.4,10.4,10.4
Valparaiso,05,Panquehue,5704.0,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Papudo,5403.0,6201.0,0.0,0.0,16.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Petorca,5404.0,10558.0,0.0,9.5,9.5,47.4,37.9,47.4,56.8,56.8,56.8,56.8,56.8
Valparaiso,05,Puchuncavi,5105.0,20071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Putaendo,5705.0,17645.0,5.7,5.7,5.7,5.7,5.7,5.7,5.7,11.3,11.3,28.3,28.3
Valparaiso,05,Quillota,5501.0,97572.0,6.1,7.2,9.2,9.2,13.3,13.3,16.4,18.4,19.5,20.5,22.5
Valparaiso,05,Quilpue,5801.0,167085.0,6.6,6.0,6.6,7.2,9.0,10.8,12.0,12.6,13.2,16.2,18.0
Valparaiso,05,Quintero,5107.0,36135.0,8.3,8.3,5.5,5.5,8.3,11.1,13.8,11.1,11.1,11.1,16.6
Valparaiso,05,Rinconada,5303.0,11263.0,0.0,0.0,0.0,0.0,8.9,17.8,17.8,17.8,17.8,17.8,17.8
Valparaiso,05,San Antonio,5601.0,96761.0,2.1,4.1,8.3,9.3,9.3,13.4,17.6,19.6,28.9,35.1,47.5
Valparaiso,05,San Esteban,5304.0,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8
Valparaiso,05,San Felipe,5701.0,83494.0,3.6,3.6,6.0,6.0,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Valparaiso,05,Santa Maria,5706.0,16367.0,0.0,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
Valparaiso,05,Santo Domingo,5606.0,11934.0,16.8,25.1,8.4,16.8,41.9,41.9,41.9,83.8,92.2,100.6,142.5
Valparaiso,05,Valparaiso,5101.0,315732.0,5.1,8.2,7.3,8.2,11.4,12.4,13.9,14.3,16.2,18.7,21.2
Valparaiso,05,Villa Alemana,5804.0,139310.0,4.3,5.7,7.9,7.9,8.6,8.6,8.6,8.6,9.3,9.3,10.0
Valparaiso,05,Vina del Mar,5109.0,361371.0,8.0,10.5,13.0,14.7,18.3,19.1,19.9,20.8,23.2,26.0,28.5
Valparaiso,05,Zapallar,5405.0,7994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Total,,1960170.0,5.2,6.9,9.0,10.1,11.5,12.3,13.9,15.3,17.6,19.9,23.2
Metropolitana,13,Alhue,13502.0,7405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitana,13,Buin,13402.0,109641.0,6.4,7.3,12.8,18.2,18.2,26.4,32.8,36.5,39.2,42.9,48.3
Metropolitana,13,Calera de Tango,13403.0,28525.0,21.0,24.5,24.5,24.5,28.0,28.0,35.1,35.1,38.6,49.1,52.6
Metropolitana,13,Cerrillos,13102.0,88956.0,3.4,4.5,4.5,5.6,12.4,23.6,32.6,43.8,54.0,59.6,74.2
Metropolitana,13,Cerro Navia,13103.0,142465.0,13.3,14.7,18.3,21.8,25.3,29.5,40.0,45.6,55.5,69.5,82.8
Metropolitana,13,Colina,13301.0,180353.0,17.7,21.6,26.1,27.7,34.4,36.6,41.0,42.7,44.9,49.9,52.7
Metropolitana,13,Conchali,13104.0,139195.0,10.1,12.9,15.8,23.0,27.3,33.8,37.4,40.2,46.0,57.5,70.4
Metropolitana,13,Curacavi,13503.0,36430.0,13.7,13.7,13.7,22.0,24.7,27.4,35.7,38.4,38.4,38.4,41.2
Metropolitana,13,El Bosque,13105.0,172000.0,10.5,10.6,20.3,21.5,26.7,37.2,48.3,54.1,62.2,73.8,84.3
Metropolitana,13,El Monte,13602.0,40014.0,2.5,16.9,5.0,12.5,17.5,22.5,25.0,25.0,30.0,30.0,32.5
Metropolitana,13,Estacion Central,13106.0,206792.0,7.7,12.0,12.1,17.4,19.8,29.5,34.3,43.0,48.8,58.0,78.3
Metropolitana,13,Huechuraba,13107.0,112528.0,15.1,2.5,19.6,28.4,31.1,33.8,42.7,47.1,52.4,58.7,68.4
